contract,tool,duration,exit_code,success,findings,errors,messages,dataset,timeout,out_of_memory,error
0x00A1f04127Cb208ce692C2daB39EAAbEeeA0985b,conkas,3.694166898727417,0,True,Time_Manipulation,[],[],eth2,False,False,False
0x00EC3ea1B9Af3B218B52D0fCEF033d388AC842F4,conkas,353.7193250656128,0,True,[],[],[],eth2,False,False,False
0x08E9F5CFE85eF617923EBf246d250D1B16beb297,conkas,8.691473960876465,0,False,[],Traceback (RecursionError: maximum recursion depth exceeded),[],eth2,False,False,True
0x0908752c6B5e780d3A1bA5d9CcE31Ec10a778CeA,conkas,10.009592056274414,0,True,[],[],[],eth2,False,False,False
0x0971303B476B6fa429858210D92bb7D7F3283fd9,conkas,3.0235841274261475,0,True,[],[],[],eth2,False,False,False
0x0b0e6f9d09b74f9e6B410d2a70636062eff0B2BD,conkas,5.298998117446899,0,True,"Integer_Overflow,Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x0c2B2E3E57f4ce82D8D25151A87F4DfD68DE6a21,conkas,337.2976498603821,0,True,Reentrancy,[],[],eth2,False,False,False
0x0e0650267Ecf951E648839Aa2cBf54CfFDbD82c3,conkas,4.309831142425537,0,True,Time_Manipulation,[],[],eth2,False,False,False
0x1226F637a06Cf7aDE86B2Bf6E98D773734625747,conkas,6.611423015594482,0,True,[],[],[],eth2,False,False,False
0x1246a50e3aDaF684Ac566f0c40816fF738F309B3,conkas,5.981211185455322,0,False,[],Traceback (RecursionError: maximum recursion depth exceeded),[],eth2,False,False,True
0x133723353105C03FfF27e834F83780D2F2B46FD7,conkas,3.6317331790924072,0,True,"Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x14398F9C98D07A186BC952004a4111fCC1723CCC,conkas,19.95375633239746,0,True,"Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x18a54A0Cf284ee3d82319365A036672727d0ad56,conkas,3.0290539264678955,0,True,[],[],[],eth2,False,False,False
0x1C3a21d0367B0Db712dFcBb492c91FBD6237bD45,conkas,3.9817850589752197,0,True,Reentrancy,[],[],eth2,False,False,False
0x1D9d6634a9119ad9C2ebBF9e44D2aed8C36f5ec1,conkas,3.268596887588501,0,True,Reentrancy,[],[],eth2,False,False,False
0x1F9A5522c5F9a6440B3185fAadE7A4c838Ff80cF,conkas,4.405840873718262,0,True,Reentrancy,[],[],eth2,False,False,False
0x1cD00d9515f00DdDaF12b09E5089b448B4139286,conkas,3.0228097438812256,0,True,[],[],[],eth2,False,False,False
0x1eECC8cf51995F2b2dE7a8f9c1d225462523C246,conkas,3.8286759853363037,0,True,[],[],[],eth2,False,False,False
0x22F366AA30E0a3b99bcEf837462e039edbB50298,conkas,3.426003932952881,0,True,Reentrancy,[],[],eth2,False,False,False
0x244F948069212711FC2e27f6bb00D470728dCf1d,conkas,3.172966241836548,0,True,[],[],[],eth2,False,False,False
0x24b8Af26b5d1F8B61f828f6897dB84C7f4e64BE7,conkas,9.087019205093384,0,False,[],Traceback (KeyError: <SSABasicBlock offset:0x2888 num_insns:1 in: [0x287c] insns:[),[],eth2,False,False,True
0x260898aB064BB768E3c8a8f9a93b0D2394066688,conkas,75.85214018821716,0,True,Time_Manipulation,[],[],eth2,False,False,False
0x265fE48f6DA950eeF17b3b4fA25E90980E655fDd,conkas,4.182377099990845,0,True,Integer_Overflow,[],[],eth2,False,False,False
0x284A3Fc662caD9EECa355bEA45Cc0Cc507fb36BA,conkas,3.323960065841675,0,True,[],[],[],eth2,False,False,False
0x28DCE640051A3aE9D5F148A5fBEe735bed8BB610,conkas,4.801988124847412,0,True,"Integer_Overflow,Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x28F5Aee79136a421540A22046E30176075953Bec,conkas,19.43524479866028,0,True,"Integer_Overflow,Reentrancy,Time_Manipulation",[],[],eth2,False,False,False
0x28d51B2eE06684d3efEB4D776FA5A6Fd308cfa61,conkas,16.618072986602783,0,False,[],Traceback (RecursionError: maximum recursion depth exceeded while calling a Python object),[],eth2,False,False,True
0x2E13f99B07e467d6a20787D6ADC9F6c1c3F21a84,conkas,11.20079779624939,0,False,[],Traceback (RecursionError: maximum recursion depth exceeded while calling a Python object),[],eth2,False,False,True
0x2E3Da76836A79001AF68D50451fb2EBf6bEe4100,conkas,3.52312970161438,0,True,Integer_Underflow,[],[],eth2,False,False,False
0x3126884E24Fbf5a9A3acEe004a604eec5625B21F,conkas,57.83691906929016,0,True,"Integer_Overflow,Integer_Underflow",[],[],eth2,False,False,False
0x314321564B471a74696786a08EEf22c4628AA36d,conkas,272.72488594055176,0,True,[],[],[],eth2,False,False,False
0x325c96fA60EEB3A9F88bab75278B5Ff18398c919,conkas,4.8661839962005615,0,True,[],[],[],eth2,False,False,False
0x3A44D6B7F2D79ac803B8B17DEa7e08edE15D3b93,conkas,4.16867995262146,0,False,[],Traceback (RecursionError: maximum recursion depth exceeded while calling a Python object),[],eth2,False,False,True
0x3F86BCF858D6F20DA215b2AA0533a1EE9703aebA,conkas,3.0022878646850586,0,True,[],[],[],eth2,False,False,False
0x3a08e2D6c739dc1Aaf9D367F9436095CB0146ed0,conkas,5.571905851364136,0,True,"Integer_Overflow,Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x410a49A198c846E18CA4af4b98B1414ef28070fE,conkas,3.1544950008392334,0,True,[],[],[],eth2,False,False,False
0x422355D5394350C74BA0F73eF214fDa6a584D51f,conkas,256.89808106422424,0,True,Integer_Overflow,[],[],eth2,False,False,False
0x4B7DD9cB20BDDD78914F0eDFb2007eF04042ce92,conkas,3.0440289974212646,0,True,[],[],[],eth2,False,False,False
0x4b7757f2dAe6cC521eEa3D4be9b58ae112Aa8eea,conkas,4.03403902053833,0,True,Reentrancy,[],[],eth2,False,False,False
0x50a33Aa542085320d15313B1d6a1aea44C2fd4c3,conkas,3.223808765411377,0,True,[],[],[],eth2,False,False,False
0x51B11D2D62C3BCbc26800a5Ab37d6926ce1bcaB3,conkas,26.850390911102295,0,True,"Integer_Overflow,Integer_Underflow,Time_Manipulation",[],[],eth2,False,False,False
0x52485b629D45a0e31391838B29577C44f8B780F4,conkas,532.540983915329,0,True,"Integer_Overflow,Reentrancy",[],[],eth2,False,False,False
0x54e82532b552BC488DCa6bDd71712Ba859061bAC,conkas,3.890611171722412,0,True,"Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x586E1c81643E9e07f12937ab5bC66CcAB4701B78,conkas,3.053765296936035,0,True,[],[],[],eth2,False,False,False
0x596da4882c5034Eb58AfDaB1df478c19C8e9aeAA,conkas,3.5752110481262207,0,True,Reentrancy,[],[],eth2,False,False,False
0x5Ba3051d6A29EEb71382EDDe873D9323884355c3,conkas,3.127933979034424,0,True,[],[],[],eth2,False,False,False
0x5c39289c6A9B339E6805362ab1e2eDE056689af2,conkas,3.3043911457061768,0,True,[],[],[],eth2,False,False,False
0x5d314A64C7b7441C8A533fA5eDa137AFf223e9f8,conkas,4.938299894332886,0,True,"Integer_Underflow,Reentrancy",[],[],eth2,False,False,False
0x61bea181146dEA1618266aeFbebDcCaDA87eB52F,conkas,3.0524470806121826,0,True,[],[],[],eth2,False,False,False
0x62F874F727226Cf91cC0E8f6140C78fFc15174C3,conkas,3.3367760181427,0,True,[],[],[],eth2,False,False,False
